panel,configuration,x,mean
cumulative,Claude Code + AutoSkill,0,
cumulative,Claude Code + AutoSkill,3,
cumulative,Claude Code + AutoSkill,6,
cumulative,Claude Code + AutoSkill,9,
cumulative,Hermes + Hermes-native,0,
cumulative,Hermes + Hermes-native,3,
cumulative,Hermes + Hermes-native,6,
cumulative,Hermes + Hermes-native,9,
timing,Claude Code + AutoSkill,Early,
timing,Claude Code + AutoSkill,Interleaved,
timing,Claude Code + AutoSkill,Late,
timing,Hermes + Hermes-native,Early,
timing,Hermes + Hermes-native,Interleaved,
timing,Hermes + Hermes-native,Late,
composition,Claude Code + AutoSkill,Fully mixed,
composition,Claude Code + AutoSkill,Partially mixed,
composition,Claude Code + AutoSkill,Batched,
composition,Hermes + Hermes-native,Fully mixed,
composition,Hermes + Hermes-native,Partially mixed,
composition,Hermes + Hermes-native,Batched,
